publisher_docid;batchid_in;time_stamp
week17b_1028_5760826_5760950;IEEEcnf/week17b/1028.zip;20110622_005958
week17b_1028_5760826_5760951;InspecMetadata/week17b/XML.zip;20110622_005958
week17b_1028_5760826_5760951;IEEEcnf/week17b/1028.zip;20110622_005958
week17b_1028_5760826_5760952;InspecMetadata/week17b/XML.zip;20110622_005958
week17b_1028_5760826_5760952;IEEEcnf/week17b/1028.zip;20110622_005958
week17b_1028_5760826_5760953;InspecMetadata/week17b/XML.zip;20110622_005958
week17b_1028_5760826_5760953;IEEEcnf/week17b/1028.zip;20110622_005958
week17b_1028_5760826_5760954;InspecMetadata/week17b/XML.zip;20110622_005959
week17b_1028_5760826_5760954;IEEEcnf/week17b/1028.zip;20110622_005959
week17b_1028_5760826_5760955;InspecMetadata/week17b/XML.zip;20110622_005959
week17b_1028_5760826_5760955;IEEEcnf/week17b/1028.zip;20110622_005959
week17b_1028_5760826_5760956;InspecMetadata/week17b/XML.zip;20110622_005959
week17b_1028_5760826_5760956;IEEEcnf/week17b/1028.zip;20110622_005959
week17b_1028_5760826_5760957;InspecMetadata/week17b/XML.zip;20110622_005959
week17b_1028_5760826_5760957;IEEEcnf/week17b/1028.zip;20110622_005959
week17b_1028_5760826_5760958;InspecMetadata/week17b/XML.zip;20110622_010000
week17b_1028_5760826_5760958;IEEEcnf/week17b/1028.zip;20110622_010000
week17b_1028_5760826_5760959;InspecMetadata/week17b/XML.zip;20110622_010001
week17b_1028_5760826_5760959;IEEEcnf/week17b/1028.zip;20110622_010001
week17b_1028_5760826_5760960;InspecMetadata/week17b/XML.zip;20110622_010001
week17b_1028_5760826_5760960;IEEEcnf/week17b/1028.zip;20110622_010001
week17b_1028_5760826_5760961;InspecMetadata/week17b/XML.zip;20110622_010002
week17b_1028_5760826_5760961;IEEEcnf/week17b/1028.zip;20110622_010002
week17b_1028_5760826_5760962;InspecMetadata/week17b/XML.zip;20110622_010003
week17b_1028_5760826_5760962;IEEEcnf/week17b/1028.zip;20110622_010003
week17b_1028_5760826_5760963;InspecMetadata/week17b/XML.zip;20110622_010004
week17b_1028_5760826_5760963;IEEEcnf/week17b/1028.zip;20110622_010004
week17b_1028_5760826_5760964;InspecMetadata/week17b/XML.zip;20110622_010004
week17b_1028_5760826_5760964;IEEEcnf/week17b/1028.zip;20110622_010004
week17b_1028_5760826_5760965;InspecMetadata/week17b/XML.zip;20110622_010005
week17b_1028_5760826_5760965;IEEEcnf/week17b/1028.zip;20110622_010005
week17b_1028_5760826_5760966;InspecMetadata/week17b/XML.zip;20110622_010009
week17b_1028_5760826_5760966;IEEEcnf/week17b/1028.zip;20110622_010009
week17b_1028_5760826_5760967;InspecMetadata/week17b/XML.zip;20110622_010011
week17b_1028_5760826_5760967;IEEEcnf/week17b/1028.zip;20110622_010011
week17b_1028_5760826_5760968;InspecMetadata/week17b/XML.zip;20110622_010013
week17b_1028_5760826_5760968;IEEEcnf/week17b/1028.zip;20110622_010013
week17b_1028_5760826_5760969;InspecMetadata/week17b/XML.zip;20110622_010015
week17b_1028_5760826_5760969;IEEEcnf/week17b/1028.zip;20110622_010015
week17b_1028_5760826_5760970;InspecMetadata/week17b/XML.zip;20110622_010016
week17b_1028_5760826_5760970;IEEEcnf/week17b/1028.zip;20110622_010016
week17b_1028_5760826_5760971;InspecMetadata/week17b/XML.zip;20110622_010016
week17b_1028_5760826_5760971;IEEEcnf/week17b/1028.zip;20110622_010016
week17b_1028_5760826_5760972;InspecMetadata/week17b/XML.zip;20110622_010017
week17b_1028_5760826_5760972;IEEEcnf/week17b/1028.zip;20110622_010017
week17b_1028_5760826_5760973;InspecMetadata/week17b/XML.zip;20110622_010019
week17b_1028_5760826_5760973;IEEEcnf/week17b/1028.zip;20110622_010019
week17b_1028_5760826_5760974;InspecMetadata/week17b/XML.zip;20110622_010019
week17b_1028_5760826_5760974;IEEEcnf/week17b/1028.zip;20110622_010019
week17b_1028_5760826_5760975;InspecMetadata/week17b/XML.zip;20110622_010019
week17b_1028_5760826_5760975;IEEEcnf/week17b/1028.zip;20110622_010019
week17b_1028_5760826_5760976;InspecMetadata/week17b/XML.zip;20110622_010019
week17b_1028_5760826_5760976;IEEEcnf/week17b/1028.zip;20110622_010019
week17b_1028_5760826_5760977;InspecMetadata/week17b/XML.zip;20110622_010020
week17b_1028_5760826_5760977;IEEEcnf/week17b/1028.zip;20110622_010020
week17b_1028_5760826_5760978;InspecMetadata/week17b/XML.zip;20110622_010020
week17b_1028_5760826_5760978;IEEEcnf/week17b/1028.zip;20110622_010020
week17b_1028_5760826_5760979;InspecMetadata/week17b/XML.zip;20110622_010020
week17b_1028_5760826_5760979;IEEEcnf/week17b/1028.zip;20110622_010020
week17b_1028_5760826_5760980;InspecMetadata/week17b/XML.zip;20110622_010022
week17b_1028_5760826_5760980;IEEEcnf/week17b/1028.zip;20110622_010022
week17b_1028_5760826_5760981;InspecMetadata/week17b/XML.zip;20110622_010022
week17b_1028_5760826_5760981;IEEEcnf/week17b/1028.zip;20110622_010022
week17b_1028_5760826_5760982;InspecMetadata/week17b/XML.zip;20110622_010023
week17b_1028_5760826_5760982;IEEEcnf/week17b/1028.zip;20110622_010023
week17b_1028_5760826_5760983;InspecMetadata/week17b/XML.zip;20110622_010023
week17b_1028_5760826_5760983;IEEEcnf/week17b/1028.zip;20110622_010023
week17b_1028_5760826_5760984;InspecMetadata/week17b/XML.zip;20110622_010024
week17b_1028_5760826_5760984;IEEEcnf/week17b/1028.zip;20110622_010024
week17b_1028_5760826_5760985;InspecMetadata/week17b/XML.zip;20110622_010024
week17b_1028_5760826_5760985;IEEEcnf/week17b/1028.zip;20110622_010024
week17b_1028_5760826_5760986;InspecMetadata/week17b/XML.zip;20110622_010024
week17b_1028_5760826_5760986;IEEEcnf/week17b/1028.zip;20110622_010024
week17b_1028_5760826_5760987;InspecMetadata/week17b/XML.zip;20110622_010025
week17b_1028_5760826_5760987;IEEEcnf/week17b/1028.zip;20110622_010025
