publisher_docid;batchid_out;status;time_stamp
week17b_1028_5760826_5761169;;noPdf;20110622_010041
week17b_1028_5760826_5761170;;noPdf;20110622_010041
week17b_1028_5760826_5761171;;noPdf;20110622_010041
week17b_1028_5760826_5761172;;noPdf;20110622_010041
week17b_1028_5760826_5761173;;noPdf;20110622_010041
week17b_1028_5760826_5761174;;noPdf;20110622_010041
week17b_1028_5760826_5761175;;noPdf;20110622_010041
week17b_1028_5760826_5761176;;noPdf;20110622_010041
week17b_1028_5760826_5761177;;noPdf;20110622_010041
week17b_1028_5760826_5761178;;noPdf;20110622_010041
week17b_1028_5760826_5761179;;noPdf;20110622_010041
week17b_1028_5760826_5761180;;noPdf;20110622_010041
week17b_1028_5760826_5761181;;noPdf;20110622_010041
week17b_1028_5760826_5761182;;noPdf;20110622_010041
week17b_1028_5760826_5761183;;noPdf;20110622_010041
week17b_1028_5760826_5761184;;noPdf;20110622_010041
week17b_1028_5760826_5761185;;noPdf;20110622_010041
week17b_1028_5760826_5761186;;noPdf;20110622_010041
week17b_1028_5760826_5761187;;noPdf;20110622_010041
week17b_1028_5760826_5761188;;noPdf;20110622_010041
week17b_1028_5760826_5761189;;noPdf;20110622_010041
week17b_1028_5760826_5761190;;noPdf;20110622_010041
week17b_1028_5760826_5761191;;noPdf;20110622_010041
week17b_1028_5760826_5761192;;noPdf;20110622_010041
week17b_1028_5760826_5761193;;noPdf;20110622_010041
week17b_1028_5760826_5761194;;noPdf;20110622_010041
week17b_1028_5760826_5761195;;noPdf;20110622_010042
week17b_1028_5760826_5761196;;noPdf;20110622_010042
week17b_1028_5760826_5761197;;noPdf;20110622_010042
week17b_1028_5760826_5761198;;noPdf;20110622_010042
week17b_1028_5760826_5761199;;noPdf;20110622_010042
week17b_1028_5760826_5761200;;noPdf;20110622_010042
week17b_1028_5760826_5761201;;noPdf;20110622_010042
week17b_1028_5760826_5761202;;noPdf;20110622_010042
week17b_1028_5760826_5761203;;noPdf;20110622_010042
week17b_1028_5760826_5761204;;noPdf;20110622_010042
week17b_1028_5760826_5761205;;noPdf;20110622_010042
week17b_1028_5760826_5761206;;noPdf;20110622_010042
week17b_1028_5760826_5761207;;noPdf;20110622_010042
week17b_1028_5760826_5761208;;noPdf;20110622_010042
week17b_1028_5760826_5761209;;noPdf;20110622_010042
week17b_1028_5760826_5761210;;noPdf;20110622_010042
week17b_1028_5760826_5761211;;noPdf;20110622_010042
week17b_1028_5760826_5761212;;noPdf;20110622_010042
week17b_1028_5760826_5761213;;noPdf;20110622_010042
week17b_1028_5760826_5761214;;noPdf;20110622_010042
week17b_1028_5760826_5761215;;noPdf;20110622_010042
week17b_1028_5760826_5761216;;noPdf;20110622_010042
week17b_1028_5760826_5761217;;noPdf;20110622_010042
week17b_1028_5760826_5761218;;noPdf;20110622_010042
week17b_1028_5760826_5761219;;noPdf;20110622_010042
week17b_1028_5760826_5761220;;noPdf;20110622_010042
week17b_1028_5760826_5761221;;noPdf;20110622_010042
week17b_1028_5760826_5761223;;noPdf;20110622_010042
week17b_1028_5760826_5761224;;noPdf;20110622_010042
week17b_1028_5760826_5761225;;noPdf;20110622_010042
week17b_1028_5760826_5761226;;noPdf;20110622_010042
week17b_1028_5760826_5761227;;noPdf;20110622_010042
week17b_1028_5760826_5761228;;noPdf;20110622_010042
week17b_1028_5760826_5761229;;noPdf;20110622_010042
week17b_1028_5760826_5761230;;noPdf;20110622_010042
week17b_1028_5760826_5761231;;noPdf;20110622_010042
week17b_1028_5760826_5761232;;noPdf;20110622_010042
week17b_1028_5760826_5761233;;noPdf;20110622_010042
week17b_1028_5760826_5761234;;noPdf;20110622_010042
week17b_1028_5760826_5761235;;noPdf;20110622_010042
week17b_1028_5760826_5761236;;noPdf;20110622_010042
week17b_1028_5760826_5761237;;noPdf;20110622_010042
week17b_1028_5760826_5761238;;noPdf;20110622_010042
week17b_1028_5760826_5761239;;noPdf;20110622_010042
week17b_1028_5760826_5761240;;noPdf;20110622_010042
week17b_1028_5760826_5761241;;noPdf;20110622_010043
week17b_1028_5760826_5761242;;noPdf;20110622_010043
week17b_1028_5760826_5761243;;noPdf;20110622_010043
week17b_1028_5760826_5761244;;noPdf;20110622_010043
week17b_1028_5760826_5761245;;noPdf;20110622_010043
week17b_1028_5760826_5761246;;noPdf;20110622_010043
week17b_1028_5760826_5761247;;noPdf;20110622_010043
