publisher_docid;XP;batchid;time_stamp
week4a_5608545_5625939_5627245;XP031883796;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627245;XP031883796;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627245;XP031883796;XP031883796.pdf;20110728_064654
week4a_5608545_5625939_5627246;XP031883797;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627246;XP031883797;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627246;XP031883797;XP031883797.pdf;20110728_064654
week4a_5608545_5625939_5627247;XP031883798;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627247;XP031883798;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627247;XP031883798;XP031883798.pdf;20110728_064654
week4a_5608545_5625939_5627249;XP031883799;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627249;XP031883799;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627249;XP031883799;XP031883799.pdf;20110728_064654
week4a_5608545_5625939_5627250;XP031883800;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627250;XP031883800;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627250;XP031883800;XP031883800.pdf;20110728_064654
week4a_5608545_5625939_5627251;XP031883801;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627251;XP031883801;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627251;XP031883801;XP031883801.pdf;20110728_064654
week4a_5608545_5625939_5627252;XP031883802;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627252;XP031883802;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627252;XP031883802;XP031883802.pdf;20110728_064654
week4a_5608545_5625939_5627253;XP031883803;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627253;XP031883803;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627253;XP031883803;XP031883803.pdf;20110728_064654
week4a_5608545_5625939_5627254;XP031883804;IEEECONFERENCE_week4a.xml;20110728_064654
